"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109","cv review","GetLinked - Talent","Sun Dec 01 22:08:48 GMT 2024","passed","Sun Dec 01 22:08:48 GMT 2024","","CV Review as a service","",""
"","49","No auth - personality test","GetLinked - Talent","Sun Dec 01 22:08:28 GMT 2024","passed","Sun Dec 01 22:08:28 GMT 2024","TEST > personality test","Talent","",""
"","315","Get the job list_successful","GetLinked - Talent","Sun Dec 01 22:08:45 GMT 2024","passed","Sun Dec 01 22:08:46 GMT 2024","Talent Job","Talent","",""
"","62","check_username_successful","GetLinked - Talent","Sun Dec 01 22:08:48 GMT 2024","passed","Sun Dec 01 22:08:48 GMT 2024","Portfolio_website","Talent","",""
"","66","personality test","GetLinked - Talent","Sun Dec 01 22:08:28 GMT 2024","passed","Sun Dec 01 22:08:28 GMT 2024","TEST > personality test","Talent","",""
"","482","job application for non talent - failed","GetLinked - Talent","Sun Dec 01 22:08:46 GMT 2024","passed","Sun Dec 01 22:08:46 GMT 2024","Talent_Job_Application","Talent","",""
"","72","create_portfolio_website","GetLinked - Talent","Sun Dec 01 22:08:47 GMT 2024","passed","Sun Dec 01 22:08:47 GMT 2024","Portfolio_website","Talent","",""
"","68","Upload CV - no proficiency","GetLinked - Talent","Sun Dec 01 22:08:43 GMT 2024","passed","Sun Dec 01 22:08:43 GMT 2024","Talent CV","Talent","",""
"","80","resuming_creation","GetLinked - Talent","Sun Dec 01 22:08:38 GMT 2024","passed","Sun Dec 01 22:08:38 GMT 2024","Talent CV > Resume Creation","Talent","",""
"","60","update education in revamped cv","GetLinked - Talent","Sun Dec 01 22:08:49 GMT 2024","passed","Sun Dec 01 22:08:49 GMT 2024","","CV Review as a service","",""
"","50","download_cv_and_cover_letter_failed","GetLinked - Talent","Sun Dec 01 22:08:46 GMT 2024","passed","Sun Dec 01 22:08:46 GMT 2024","Talent_Job_Application","Talent","",""
"","70","Onboarding talent (always 409) - Duplicate","GetLinked - Talent","Sun Dec 01 22:08:44 GMT 2024","passed","Sun Dec 01 22:08:44 GMT 2024","Onboarding","Talent","",""
"","61","bot_talent_onboarding","GetLinked - Talent","Sun Dec 01 22:08:38 GMT 2024","passed","Sun Dec 01 22:08:38 GMT 2024","Bot_Talent","Talent","",""
"","100","get_single_portfolio_website_failed","GetLinked - Talent","Sun Dec 01 22:08:47 GMT 2024","passed","Sun Dec 01 22:08:47 GMT 2024","Portfolio_website","Talent","",""
"","1185","paraphrased_cv_letter_successful","GetLinked - Talent","Sun Dec 01 22:08:41 GMT 2024","passed","Sun Dec 01 22:08:42 GMT 2024","Talent CV > Cover_Letter_Creation","Talent","",""
